id	type
GTEX-N7MT-0126-SM-26GMB	1
GTEX-R55G-0826-SM-2TC5U	1
GTEX-1211K-0826-SM-5FQUP	1
GTEX-13OVJ-0726-SM-5KM1W	1
GTEX-11ILO-0726-SM-5HL5I	1
GTEX-N7MT-0126-SM-26GMS	1
GTEX-SE5C-0526-SM-2XCE1	1
GTEX-PWOO-0726-SM-2I3EB	1
GTEX-S7SF-0426-SM-3K2B7	1
GTEX-1269C-0926-SM-5FQSR	1
GTEX-13CF3-0426-SM-5IJEU	1
GTEX-O5YV-0526-SM-26GMJ	1
TCGA-50-5939-11	1
TCGA-49-6745-11	1
TCGA-55-6978-11	1
TCGA-55-6983-11	1
TCGA-91-6829-11	1
TCGA-50-5932-11	1
TCGA-50-5933-11	1
TCGA-55-6972-11	1
TCGA-49-6742-11	1
TCGA-91-6828-11	1
TCGA-91-6831-11	1
TCGA-44-2662-11	1
TCGA-44-6146-11	1
TCGA-55-6968-11	1
TCGA-55-6975-11	1
TCGA-44-6148-11	1
TCGA-44-6778-11	1
TCGA-44-6144-11	1
TCGA-50-5936-11	1
TCGA-55-6980-11	1
TCGA-55-6969-11	1
TCGA-44-2668-11	1
TCGA-50-5930-11	1
TCGA-73-4676-11	1
TCGA-38-4632-11	1
TCGA-50-5935-11	1
TCGA-44-6777-11	1
TCGA-49-6743-11	1
TCGA-91-6835-11	1
TCGA-55-6982-11	1
TCGA-44-3398-11	1
TCGA-50-5931-11	1
TCGA-91-6849-11	1
TCGA-44-2657-11	1
TCGA-44-3396-11	1
TCGA-50-6595-11	1
TCGA-55-6986-11	1
TCGA-55-6984-11	1
TCGA-44-2661-11	1
TCGA-49-4512-11	1
TCGA-49-6761-11	1
TCGA-44-6147-11	1
TCGA-55-6970-11	1
TCGA-38-4625-11	1
TCGA-44-2655-11	1
TCGA-38-4627-11	1
TCGA-49-6744-11	1
TCGA-44-6145-11	1
TCGA-91-6847-11	1
TCGA-44-5645-11	1
TCGA-44-6776-11	1
TCGA-55-6971-11	1
TCGA-55-6979-11	1
TCGA-55-6985-11	1
TCGA-38-4626-11	1
TCGA-44-2665-11	1
TCGA-55-6981-11	1
TCGA-91-6836-11	1
TCGA-49-4490-11	1
TCGA-50-5066-02	2
TCGA-50-5946-02	2
TCGA-55-A4DF-01	2
TCGA-50-5939-01	2
TCGA-69-8254-01	2
TCGA-62-A470-01	2
TCGA-69-7761-01	2
TCGA-78-7166-01	2
TCGA-97-A4M5-01	2
TCGA-05-4433-01	2
TCGA-49-6745-01	2
TCGA-55-6978-01	2
TCGA-55-6983-01	2
TCGA-55-7994-01	2
TCGA-97-8171-01	2
TCGA-97-A4LX-01	2
TCGA-38-A44F-01	2
TCGA-55-8090-01	2
TCGA-44-A47B-01	2
TCGA-86-8055-01	2
TCGA-55-A490-01	2
TCGA-91-6829-01	2
TCGA-91-A4BD-01	2
TCGA-49-4494-01	2
TCGA-55-6987-01	2
TCGA-55-7227-01	2
TCGA-55-7907-01	2
TCGA-69-8453-01	2
TCGA-78-7167-01	2
TCGA-93-8067-01	2
TCGA-MP-A4TC-01	2
TCGA-05-4395-01	2
TCGA-05-4396-01	2
TCGA-05-4403-01	2
TCGA-55-7815-01	2
TCGA-55-8614-01	2
TCGA-50-5932-01	2
TCGA-55-8092-01	2
TCGA-69-7764-01	2
TCGA-78-7162-01	2
TCGA-86-8281-01	2
TCGA-L9-A50W-01	2
TCGA-50-5072-01	2
TCGA-50-8460-01	2
TCGA-55-7284-01	2
TCGA-55-8091-01	2
TCGA-64-5815-01	2
TCGA-73-4677-01	2
TCGA-97-A4M7-01	2
TCGA-44-8119-01	2
TCGA-44-A4SS-01	2
TCGA-55-8207-01	2
TCGA-62-A46S-01	2
TCGA-69-7760-01	2
TCGA-44-7660-01	2
TCGA-49-4486-01	2
TCGA-50-5066-01	2
TCGA-50-5933-01	2
TCGA-55-6972-01	2
TCGA-78-7154-01	2
TCGA-78-7537-01	2
TCGA-95-8039-01	2
TCGA-97-8179-01	2
TCGA-MP-A4TI-01	2
TCGA-05-4426-01	2
TCGA-55-6712-01	2
TCGA-55-A4DG-01	2
TCGA-64-5775-01	2
TCGA-69-8255-01	2
TCGA-78-7148-01	2
TCGA-78-7149-01	2
TCGA-93-A4JN-01	2
TCGA-95-7562-01	2
TCGA-95-7944-01	2
TCGA-MP-A4TD-01	2
TCGA-05-4244-01	2
TCGA-05-4389-01	2
TCGA-05-4424-01	2
TCGA-44-7659-01	2
TCGA-49-6742-01	2
TCGA-50-5049-01	2
TCGA-55-7727-01	2
TCGA-62-A472-01	2
TCGA-86-7711-01	2
TCGA-86-7713-01	2
TCGA-91-6828-01	2
TCGA-93-A4JO-01	2
TCGA-97-7552-01	2
TCGA-05-4418-01	2
TCGA-35-4122-01	2
TCGA-49-AAR3-01	2
TCGA-55-A48Y-01	2
TCGA-67-4679-01	2
TCGA-69-7763-01	2
TCGA-78-7536-01	2
TCGA-78-8660-01	2
TCGA-L9-A7SV-01	2
TCGA-05-4382-01	2
TCGA-05-4422-01	2
TCGA-05-5425-01	2
TCGA-38-4629-01	2
TCGA-49-AARR-01	2
